ciudad;vulnerabilidad;nivel_de_urgencia_x;patron_social;impacto_social;n_reportes;id;nombre;edad;genero;comentario;categoria_del_problema;nivel_de_urgencia_y;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural;comentario_limpio;tema;palabras_clave;sentimiento;sent_neg;sent_neu;sent_pos
cucuta;0.52;0.49;Zona invisible;0.51;966;26;sofia;69.0;f;necesitamos mas acceso a internet en la zona;seguridad;urgente;2024 01 11;0;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
cucuta;0.52;0.49;Zona invisible;0.51;966;30;pedro;34.0;f;falta agua potable en varias casas;seguridad;urgente;2023 10 17;0;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;42;ana;19.0;otro;las calles estan muy oscuras y peligrosas;salud;no urgente;2024 08 26;0;0;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
cucuta;0.52;0.49;Zona invisible;0.51;966;49;laura;32.0;m;las basuras no se recogen a tiempo;salud;urgente;2024 04 26;0;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;56;camilo;58.0;m;queremos mas presencia policial;medio ambiente;urgente;2024 06 12;1;1;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;60;sofia;31.0;otro;queremos mas presencia policial;medio ambiente;urgente;2023 04 22;1;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
cucuta;0.52;0.49;Zona invisible;0.51;966;76;valentina;24.0;otro;la contaminacion del rio esta aumentando;seguridad;urgente;2024 05 23;1;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
cucuta;0.52;0.49;Zona invisible;0.51;966;88;pedro;58.0;otro;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2023 06 04;1;0;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
cucuta;0.52;0.49;Zona invisible;0.51;966;89;camilo;61.0;m;las basuras no se recogen a tiempo;seguridad;urgente;2024 07 27;0;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
cucuta;0.52;0.49;Zona invisible;0.51;966;104;jorge;44.0;otro;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2023 02 23;1;0;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
cucuta;0.52;0.49;Zona invisible;0.51;966;105;sofia;50.0;f;la contaminacion del rio esta aumentando;educacion;no urgente;2024 03 16;1;0;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
cucuta;0.52;0.49;Zona invisible;0.51;966;109;valentina;44.0;;faltan medicos en el centro de salud;educacion;no urgente;2024 08 01;0;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
cucuta;0.52;0.49;Zona invisible;0.51;966;110;juan;27.0;m;faltan medicos en el centro de salud;salud;urgente;2023 01 12;1;0;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
cucuta;0.52;0.49;Zona invisible;0.51;966;138;carlos;28.0;m;no tenemos centros culturales ni bibliotecas;salud;urgente;2023 08 03;1;0;1;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
cucuta;0.52;0.49;Zona invisible;0.51;966;142;jorge;27.0;m;las basuras no se recogen a tiempo;educacion;no urgente;2023 09 21;1;1;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
cucuta;0.52;0.49;Zona invisible;0.51;966;149;ana;51.0;f;falta agua potable en varias casas;medio ambiente;no urgente;2023 02 15;1;1;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;150;maria;55.0;f;no tenemos centros culturales ni bibliotecas;seguridad;urgente;2023 12 02;1;1;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
cucuta;0.52;0.49;Zona invisible;0.51;966;155;sofia;40.0;m;falta agua potable en varias casas;medio ambiente;no urgente;2024 06 18;1;0;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
cucuta;0.52;0.49;Zona invisible;0.51;966;174;jorge;70.0;f;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2023 04 23;0;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
