id;nombre;edad;genero;ciudad;comentario;categoria_del_problema;nivel_de_urgencia;fecha_del_reporte;acceso_a_internet;atencion_previa_del_gobierno;zona_rural;comentario_limpio;tema;palabras_clave;sentimiento;sent_neg;sent_neu;sent_pos
1;jorge;23.0;otro;manizales;las calles estan muy oscuras y peligrosas;salud;urgente;2023 08 11;0;1;0;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
2;camilo;40.0;otro;santa marta;no tenemos centros culturales ni bibliotecas;medio ambiente;no urgente;2023 04 12;1;1;1;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
3;pedro;35.0;otro;medellin;las basuras no se recogen a tiempo;medio ambiente;no urgente;2023 06 09;1;1;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
4;ana;;f;bogota;la contaminacion del rio esta aumentando;seguridad;no urgente;2023 06 04;0;1;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
5;jorge;62.0;m;manizales;no hay suficientes escuelas publicas;seguridad;urgente;2024 07 10;1;0;1;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.0644576;0.0077542006
6;maria;29.0;m;cartagena;hay problemas con la recoleccion de basura;seguridad;no urgente;2023 09 18;0;1;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
7;ana;;m;medellin;la contaminacion del rio esta aumentando;salud;no urgente;2023 07 20;0;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
8;jorge;38.0;f;bogota;no hay suficientes escuelas publicas;educacion;urgente;2023 04 23;0;1;0;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.06445757;0.0077542006
9;carlos;57.0;m;medellin;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2023 09 01;1;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
10;maria;76.0;f;cali;faltan medicos en el centro de salud;salud;no urgente;2024 09 21;0;1;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
11;pedro;46.0;otro;bogota;falta agua potable en varias casas;educacion;urgente;2024 04 02;0;1;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
12;ana;67.0;m;manizales;la contaminacion del rio esta aumentando;seguridad;urgente;2023 03 14;1;1;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
13;laura;46.0;otro;medellin;falta agua potable en varias casas;salud;urgente;2023 11 08;1;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
14;sofia;72.0;f;bogota;no hay suficientes escuelas publicas;educacion;no urgente;2023 08 19;1;0;0;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.06445757;0.0077542006
15;laura;67.0;f;manizales;falta agua potable en varias casas;educacion;urgente;2024 08 16;1;1;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
16;camilo;77.0;otro;manizales;faltan medicos en el centro de salud;salud;urgente;2023 09 01;0;1;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
17;valentina;22.0;f;santa marta;necesitamos mas acceso a internet en la zona;salud;no urgente;2024 03 15;1;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
18;juan;71.0;otro;barranquilla;la contaminacion del rio esta aumentando;salud;no urgente;2023 12 21;0;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
19;sofia;;f;manizales;;educacion;urgente;2023 11 02;1;0;1;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980003
20;juan;52.0;m;medellin;queremos mas presencia policial;salud;urgente;2024 06 18;0;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
21;jorge;59.0;m;cali;faltan medicos en el centro de salud;salud;urgente;2024 07 21;0;0;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
22;laura;65.0;m;barranquilla;queremos mas presencia policial;medio ambiente;urgente;2024 04 13;0;1;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
23;jorge;51.0;otro;pereira;falta agua potable en varias casas;medio ambiente;urgente;2024 09 20;0;1;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
24;laura;64.0;f;barranquilla;las basuras no se recogen a tiempo;seguridad;no urgente;2024 05 20;0;1;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
25;carlos;28.0;f;manizales;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 04 22;1;1;1;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244655;0.12654918;0.011004276
26;sofia;69.0;f;cucuta;necesitamos mas acceso a internet en la zona;seguridad;urgente;2024 01 11;0;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
27;ana;24.0;f;bucaramanga;las basuras no se recogen a tiempo;medio ambiente;no urgente;2024 04 11;0;1;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
28;sofia;63.0;otro;pereira;la contaminacion del rio esta aumentando;medio ambiente;no urgente;2024 08 03;0;1;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
29;carlos;46.0;f;cali;hay problemas con la recoleccion de basura;educacion;urgente;2024 06 29;1;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
30;pedro;34.0;f;cucuta;falta agua potable en varias casas;seguridad;urgente;2023 10 17;0;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
31;ana;47.0;m;medellin;queremos mas presencia policial;salud;urgente;2024 11 24;1;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
32;maria;80.0;m;barranquilla;falta agua potable en varias casas;medio ambiente;urgente;2023 02 06;0;1;1;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
33;pedro;77.0;otro;santa marta;no hay suficientes escuelas publicas;medio ambiente;urgente;2024 11 23;1;1;1;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.0644576;0.0077542006
34;maria;78.0;m;barranquilla;las basuras no se recogen a tiempo;seguridad;urgente;2024 09 06;1;0;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
35;pedro;54.0;f;santa marta;necesitamos mas acceso a internet en la zona;seguridad;urgente;2023 03 04;1;0;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
36;pedro;53.0;otro;bogota;las basuras no se recogen a tiempo;educacion;no urgente;2023 09 12;1;1;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
37;carlos;18.0;m;manizales;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 09 23;0;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
38;juan;61.0;otro;barranquilla;las calles estan muy oscuras y peligrosas;seguridad;urgente;2024 05 04;0;0;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
39;sofia;33.0;f;santa marta;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 10 20;0;1;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
40;valentina;18.0;m;manizales;falta agua potable en varias casas;educacion;no urgente;2023 08 10;0;0;0;falta agua potable varias casas;5;agua, casas, falta, potable, varias;negativo;0.85468775;0.13371721;0.011595
41;valentina;;f;santa marta;queremos mas presencia policial;medio ambiente;urgente;2024 06 16;0;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
42;ana;19.0;otro;cucuta;las calles estan muy oscuras y peligrosas;salud;no urgente;2024 08 26;0;0;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
43;maria;50.0;otro;cali;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2024 09 13;1;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
44;laura;60.0;;medellin;las basuras no se recogen a tiempo;educacion;no urgente;2023 03 22;0;0;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
45;carlos;29.0;f;pereira;queremos mas presencia policial;educacion;no urgente;2023 10 31;0;0;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
46;jorge;59.0;otro;bucaramanga;hay problemas con la recoleccion de basura;educacion;no urgente;2023 07 28;1;0;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
47;camilo;19.0;m;bogota;queremos mas presencia policial;medio ambiente;no urgente;2023 08 27;0;0;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
48;pedro;48.0;otro;manizales;faltan medicos en el centro de salud;salud;no urgente;2024 07 13;1;1;1;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.2749538;0.0128595345
49;laura;32.0;m;cucuta;las basuras no se recogen a tiempo;salud;urgente;2024 04 26;0;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
50;juan;48.0;otro;medellin;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2024 08 02;1;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
51;ana;66.0;m;bogota;las calles estan muy oscuras y peligrosas;salud;no urgente;2023 02 22;1;1;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.047759444;0.0079829935
52;jorge;24.0;otro;cartagena;las calles estan muy oscuras y peligrosas;seguridad;no urgente;2023 02 09;0;1;1;calles estan oscuras peligrosas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9442576;0.04775948;0.007983001
53;pedro;53.0;m;cartagena;la contaminacion del rio esta aumentando;seguridad;urgente;2024 10 07;1;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
54;maria;59.0;otro;cartagena;no tenemos centros culturales ni bibliotecas;educacion;no urgente;2023 04 22;0;1;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
55;sofia;42.0;f;bogota;necesitamos mas acceso a internet en la zona;salud;urgente;2024 08 12;1;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
56;camilo;58.0;m;cucuta;queremos mas presencia policial;medio ambiente;urgente;2024 06 12;1;1;0;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
57;jorge;53.0;f;pereira;necesitamos mas acceso a internet en la zona;salud;urgente;2023 12 03;1;1;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
58;valentina;31.0;m;bucaramanga;no hay suficientes escuelas publicas;seguridad;urgente;2023 10 24;1;1;0;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.06445757;0.0077542006
59;valentina;24.0;f;bogota;faltan medicos en el centro de salud;seguridad;no urgente;2024 11 13;1;1;0;faltan medicos centro salud;2;centro, culturales, faltan, medicos, salud;negativo;0.7121867;0.27495375;0.012859541
60;sofia;31.0;otro;cucuta;queremos mas presencia policial;medio ambiente;urgente;2023 04 22;1;1;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
61;pedro;42.0;otro;medellin;necesitamos mas acceso a internet en la zona;salud;no urgente;2023 10 24;0;1;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
62;valentina;23.0;m;cartagena;las basuras no se recogen a tiempo;salud;no urgente;2024 08 28;1;0;0;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337146;0.23748137;0.028804062
63;laura;23.0;;pereira;queremos mas presencia policial;seguridad;urgente;2023 05 23;1;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
64;jorge;70.0;m;santa marta;hay problemas con la recoleccion de basura;medio ambiente;no urgente;2023 04 22;0;1;0;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
65;ana;30.0;m;bogota;queremos mas presencia policial;seguridad;no urgente;2024 11 15;0;0;1;queremos mas presencia policial;1;calles, estan, oscuras, peligrosas, policial;neutro;0.26389757;0.57646215;0.15964028
66;sofia;38.0;otro;manizales;no tenemos centros culturales ni bibliotecas;seguridad;no urgente;2023 06 19;1;1;0;centros culturales bibliotecas;2;centro, culturales, faltan, medicos, salud;negativo;0.86244667;0.12654915;0.011004277
67;sofia;69.0;m;manizales;necesitamos mas acceso a internet en la zona;seguridad;no urgente;2024 04 03;0;0;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
68;valentina;;m;medellin;no hay suficientes escuelas publicas;educacion;urgente;2023 07 26;1;1;0;suficientes escuelas publicas;1;calles, estan, oscuras, peligrosas, policial;negativo;0.9277882;0.06445757;0.0077542006
69;camilo;27.0;f;cali;las basuras no se recogen a tiempo;seguridad;urgente;2023 01 03;0;0;1;basuras recogen tiempo;4;basura, basuras, problemas, recogen, tiempo;negativo;0.7337145;0.23748139;0.028804075
70;maria;66.0;m;manizales;hay problemas con la recoleccion de basura;medio ambiente;urgente;2023 02 22;1;0;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.006693663
71;jorge;22.0;otro;barranquilla;;salud;urgente;2024 02 15;1;1;0;;3;(sin datos suficientes);positivo;0.21312903;0.2888706;0.4980003
72;sofia;19.0;f;pereira;necesitamos mas acceso a internet en la zona;medio ambiente;urgente;2024 09 23;0;0;0;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
73;sofia;32.0;otro;cali;la contaminacion del rio esta aumentando;salud;urgente;2024 10 07;0;0;1;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396976;0.08435152;0.011678813
74;juan;38.0;f;cartagena;necesitamos mas acceso a internet en la zona;medio ambiente;no urgente;2024 11 25;1;1;1;necesitamos mas acceso internet zona;0;acceso, internet, mas, necesitamos, zona;neutro;0.121529706;0.75686437;0.12160592
75;valentina;28.0;f;cartagena;hay problemas con la recoleccion de basura;educacion;no urgente;2024 04 14;1;1;1;problemas recoleccion basura;4;basura, basuras, problemas, recogen, tiempo;negativo;0.87674534;0.11656104;0.0066936696
76;valentina;24.0;otro;cucuta;la contaminacion del rio esta aumentando;seguridad;urgente;2024 05 23;1;1;0;contaminacion rio aumentando;0;acceso, internet, mas, necesitamos, zona;negativo;0.90396965;0.08435153;0.011678818
